id,title,role_targets,domain,tags,stack,metrics,source_file
1,CRM Timing Optimization,"Product Analyst; CRM Analyst; Data Analyst",CRM,"sql; bigquery; vip; retention; reactivation; segmentation","SQL; BigQuery","avg_deposit; segment_avg; decline_percent; vip_users; transactions",cases/01_crm_timing_optimization.md
2,Platform Deposit Drop Investigation,"Product Analyst; Data Analyst; Product Health Analyst",Product Health,"python; bigquery; incident; deposits; statistics; platform; geo","Python; pandas; scipy; BigQuery; Parquet; Excel","depositors; deposit_count; deposit_sum; avg_deposit; p_value",cases/02_platform_deposit_drop.md
3,Cohort-Based Business Health Audit,"Product Analyst; Data Analyst; Growth Analyst",Retention,"cohort; ltv; retention; arpu; ngr; segmentation; vip; geo","Python; pandas; scipy; BigQuery; Parquet; Excel","M1; M3; M6; M12 retention; LTV; ARPU; NGR; margin",cases/03_cohort_ltv_retention.md
4,P2P Transaction Spam and Failure Analysis,"Payments Analyst; Data Analyst; Risk Analyst",Payments,"p2p; failed_transactions; fraud; spam; payment_agents; anomaly","Python; pandas; scipy; BigQuery; Excel","failure_rate; failed_count; pending_rate; hourly_failure_rate; correlation",cases/04_p2p_transaction_spam_failure.md
5,Weekly KPI Automation Pipeline,"Data Analyst; BI Analyst; Product Analyst",Reporting,"automation; sportsbook; kpi; ftd; ggr; ngr; vip; reporting","Python; SQL; BigQuery; Excel","FTD; GGR; NGR; deposits; active_users; VIP metrics",cases/05_weekly_kpi_automation.md
6,Cash Desk Outage Impact Analysis,"Payments Analyst; Product Analyst; Data Analyst",Payments,"outage; withdrawals; failed_transactions; ggr; ngr; vip; traffic","Python; BigQuery; Excel","failed_withdrawals; GGR; NGR; net_profit; active_users",cases/06_cash_desk_outage_impact.md
7,Retention Campaign ROI Analysis,"CRM Analyst; Product Analyst; Data Analyst",CRM,"retention; roi; offers; bonus; cohort; campaign; geo","Python; pandas; BigQuery; CSV; Excel","bonus_cost; profit_after; net_effect; D1; D3; D7; D30 retention",cases/07_retention_campaign_roi.md
8,Sportsbook Cohort and LTV Monitoring,"Product Analyst; Data Analyst; Sportsbook Analyst",Retention,"sportsbook; cohort; ltv; deposits; ngr; payers; monitoring","Python; BigQuery; Excel","deposits_N; ngr_N; payers_N; total_ltv",cases/08_sportsbook_cohort_ltv_monitoring.md
9,Wager Change Impact Analysis,"Product Analyst; Data Analyst; Risk Analyst",Product Policy,"wager; churn; retention; ggr; withdrawals; geo; vip","Python; BigQuery; Excel","withdrawal_rate; retention_rate; churn; GGR; deposit_count; bets_count",cases/09_wager_change_impact.md
10,Winners vs Losers Strategic Analysis,"Product Analyst; Data Analyst; Strategy Analyst",Strategy,"ltv; winners; losers; retention; churn; regression; cohorts","Python; scipy; BigQuery; visualizations","LTV; lifetime_days; repeat_deposit_rate; churn_rate; ROI; R2",cases/10_winners_vs_losers_ltv.md
11,Domain Rotation Impact Analysis,"Product Analyst; Data Analyst; Growth Analyst",Product Health,"domain_rotation; natural_experiment; blockage; retention; new_users","Python; BigQuery; Excel","D1; D3; D7 retention; time_to_ftd; deposits; active_users",cases/11_domain_rotation_impact.md
12,Marketing Campaign A/B Test,"Product Analyst; CRM Analyst; Growth Analyst",Experimentation,"ab_test; freebet; retention; deposits; bets; ngr; campaign","Python; BigQuery; statistics; Excel","deposits; bets; NGR; conversion; retention; RTP",cases/12_marketing_ab_test_freebet.md
13,Call Campaign ROI Analysis,"CRM Analyst; Data Analyst; Product Analyst",CRM,"call_campaign; roi; conversion; traffic_source; 3_day; 7_day; 14_day","Python; pandas; BigQuery; regex; Excel","conversion; deposits_before_after; net_deposit; avg_deposit_per_call",cases/13_call_campaign_roi.md
14,Payment Method Shutdown Impact Analysis,"Payments Analyst; Data Analyst; Product Analyst",Payments,"payment_methods; shutdown; user_overlap; migration; revenue_loss","Python; pandas; BigQuery; Excel","user_loss; transaction_loss; deposit_loss; migration_rate; risk_group",cases/14_payment_method_shutdown.md
15,Minimum Deposit Increase Impact Analysis,"Product Analyst; Payments Analyst; Data Analyst",Payments,"minimum_deposit; pricing; churn; ltv; first_deposit; payment_methods","Python; pandas; BigQuery; Matplotlib; Excel","revenue_loss; transaction_loss; user_loss; repeat_deposit; LTV",cases/15_minimum_deposit_increase.md
16,Registration Funnel Analysis,"Product Analyst; Growth Analyst; Data Analyst",Funnel,"registration; funnel; ga4; conversion; errors; device; geo; ux","Python; pandas; BigQuery; GA4; Excel","CR; error_rate; dropoff_rate; completion_time; device_split",cases/16_registration_funnel_analysis.md
17,VIP and Segment Portfolio Notes,"Product Analyst; CRM Analyst; Data Analyst",Segmentation,"vip; segmentation; retention; ltv; crm; portfolio","SQL; Python; BigQuery; Excel","VIP deposits; retention; ARPU; LTV; segment performance",cases/17_vip_segment_portfolio_notes.md
